module	date	topic	content	slides	assignment
Introduction	February 15	Overview of the training	/course/01_course_overview.qmd		/assignments/01_get_oriented.qmd
Introduction	February 15	Overview of Survey Solutions	/course/02_suso_overview.qmd	/slides/02_suso_overview.html	/assignments/02_suso_components.qmd
Create a questionnaire	February 15	Getting started with Designer	/course/03_designer_intro.qmd	/slides/03_designer_intro.html	/assignments/03_designer_intro.qmd
Create a questionnaire	February 22	Question types	/course/04_question_types.qmd	/slides/04_question_types.html	
Create a questionnaire	February 22	Creating a basic questionnaire	/course/05_create_basic_questionnaire.qmd	/slides/05_create_basic_questionnaire.html	/assignments/05_create_basic_questionnaire.qmd
Create a questionnaire	March 1	Groups of questions	/course/06_create_groups.qmd	/slides/06_create_groups.html	/assignments/06_create_groups.qmd
Create a questionnaire	March 1	Moving/copying questions		/slides/07_move_copy_find_questions.html	
Create a questionnaire	March 8	Creating basic rosters		/slides/08_create_basic_rosters.html	/assignments/08_create_basic_rosters.qmd
Create a questionnaire	March 8	Creating complex rosters		/slides/09_create_complex_rosters.html	/assignments/09_create_complex_rosters.qmd
Create a questionnaire	March 15	Introduction to conditions	/course/10_conditions_intro.qmd	/slides/10_conditions_intro.html	/assignments/10_conditions_intro.qmd
Create a questionnaire	March 22	Conditions in rosters		/slides/11_conditions_in_rosters.html
Create a questionnaire	March 22	Lookup tables		/slides/12_lookup_tables.html
Improve a questionnaire	March 29	Design for UX/survey protocol			
Improve a questionnaire	March 29	Design for efficiency/modularity			
Improve a questionnaire	April 5	Using and managing translations			
Easter break	April 12				
Prepare the server	April 19	Setting up a server instance			
Prepare the server	April 26	Preparing the server			
Create assignments	May 3	Create cross-sectional assignments			
Prepare devices	May 10	Setting up tablets			
Workshop	May 17				
Workshop	May 24				
Conduct training	May 31	"Pedagogical principles, technological tips"			
